BunkerC			      Undefined                0.98912.0040.00000300.00.99997.500.001
Aboozar                       Iran                     0.89326.9620.0000036.600.93465.480.379
Abu al bu Khoosh              Abu Dhabi                0.86831.6038.0000006.700.91858.690.241
Agha Jari                     Iran                     0.85434.1038.0000006.000.91549.190.134
Alaskan north slope           USA                      0.89626.4038.0000042.400.93666.710.242
Alberta mix                   Canada                   0.83338.4038.0000002.900.89448.910.412
Amna (high pour)              Libya                    0.84436.1038.0000013.700.88764.410.269
Anaco                         Latin America            0.81841.5038.0000003.000.88345.720.439
Aneth                         USA                      0.82140.9038.0000006.000.87455.680.434
Anquille                      Gabon                    0.86532.0000.0000012.400.90071.050.483
Arabian Heavy                 Saudi Arabia             0.88628.2038.0000018.900.96264.540.686
Arabian heavy (Safaniya)      Saudi Arabia             0.88827.9038.0000019.000.92469.600.516
Arabian Light                 Saudi Arabia             0.85833.4038.0000006.250.92760.220.290
Arabian light (Berri)         Saudi Arabia             0.83637.8038.0000003.860.90753.280.275
Arabian medium                Saudi Arabia             0.87230.8038.0000009.400.94561.220.221
Arabian medium (Zuluf)        Saudi Arabia             0.87031.1038.0000011.010.91859.720.572
Argyl                         UK (North Sea)           0.83238.6015.0000003.700.88561.270.414
Arjuna                        Indonesia                0.83637.7038.0000003.500.89451.970.483
Arzew blend                   Algeria                  0.80544.3038.0000002.400.83972.050.463
Ashtart                       Tunisia                  0.88229.0038.0000024.000.94051.490.126
Attaka                        Indonesia                0.80843.7038.0000001.400.90420.000.458
Auk                           UK (North Sea)           0.83937.2040.0000004.400.87470.900.414
Bachequero 16.80 API          Venezuela                0.95416.8038.0000029.000.97582.110.224
Badak                         Indonesia                0.82839.4038.0000382.000.94846.900.469
Bahrgansar/Nowruz             Iran                     0.89227.1038.0000020.400.92473.470.560
Bai Hassan Jambur             Iraq                     0.85434.1038.0000005.600.90656.910.510
Barinas                       Venezuela                0.89726.2038.0000026.000.93766.350.306
Basrah                        Iraq                     0.85633.9027.0000011.000.97656.300.373
Basrah heavy                  Iraq                     0.90624.7010.0000086.300.94071.590.207
Basrah light                  Iraq                     0.85733.7010.0000015.000.92263.650.371
Basrah medium                 Iraq                     0.87031.1010.0000041.000.91066.320.348
BCF 24                        Venezuela                0.91323.5038.0000041.000.94375.030.282
Bekapai                       Indonesia                0.82141.1038.0000004.540.89835.830.435
Belayim                       Egypt                    0.89027.5020.0000051.300.92967.550.448
Beryl                         UK (North Sea)           0.82739.6038.0000002.900.90548.780.786
Bisti                         USA                      0.83039.0015.0000012.000.89545.840.417
Bomu                          Nigeria                  0.86132.9038.0000004.700.91257.650.364
Bonny light                   Nigeria                  0.84136.7038.0000003.500.90249.370.397
Bonny medium                  Nigeria                  0.90325.2038.0000012.000.94069.410.297
Boscom                        Venezuela                1.07600.0038.009999    1.06191.530.078
Bow river heavy               Alberta Canada           0.89426.7038.0000018.300.93764.440.372
Brass river                   Nigeria                  0.82140.9020.0000004.000.89439.140.470
Brega                         Libya                    0.82340.4038.0000003.600.89849.780.441
Brent                         UK (North Sea)           0.83438.2040.0000003.700.94804.740.586
Bu-Attipel                    Libya                    0.86432.2038.0000002.500.98459.200.491
Buchan                        UK (North Sea)           0.85833.5020.0000011.800.92062.290.369
Cabinda                       Angola                   0.86132.9038.0000015.000.90067.540.276
Centa                         Venezuela                0.86731.8038.0000011.000.91758.070.184
Ceuta-Zulia                   South America            0.87031.1038.0000009.000.91860.220.348
Cinta                         Indonesia                0.85633.9050.0000024.000.97656.300.373
Cold Lake                     Alberta Canada           0.90325.2015.0000070.700.95953.520.297
Denver-Julesberg              USA                      0.82639.9038.0000003.200.87757.100.425
Djeno Bled                    Congo                    0.89326.9010.0000220.000.93664.250.281
Dorrood (Darius)              Iran                     0.85733.6038.0000005.650.91452.090.448
Dubai (Fateh)                 Dubai                    0.87131.0020.0000012.800.94259.820.419
Dukhan (Quatar Land)          Quatar                   0.81741.7027.0000005.300.88245.690.806
Dunlin                        UK (North Sea)           0.85034.9040.0000004.900.90157.620.381
Duri                          Indonesia                0.93020.6038.0000400.000.94190.590.257
East Texas                    USA                      0.83538.0038.0000004.300.87368.600.408
Ecuador (Oriente)             Ecuador                  0.87430.4038.0000010.800.91863.290.331
Ekhabinskaya                  Russia                   0.87230.7050.0000003.500.99261.760.098
Ekofisk                       Norway (North Sea)       0.80644.0020.0000003.000.91132.780.524
El Bunduq                     Abu Dhabi                0.83238.5038.0000002.800.95248.440.483
El Hofra                      Libya                    0.81442.3038.0000002.200.88937.330.446
Emeraude                      Congo                    0.91223.6038.0000078.001.03273.890.186
Eocene (Wafra)                Neutral zone             0.94318.6050.0000015.500.96779.920.076
Es Sider                      Libya                    0.84136.7038.0000005.260.90359.310.429
Escravos                      Nigeria                  0.84436.2038.0000003.600.90350.650.310
Espoir                        Ivory Coast              0.86931.4020.0000013.000.92057.780.374
F3-Oil                        Holland                  0.79646.3050.0000005.000.88427.000.345
Federated L & M               Alberta Canada           0.82739.7038.0000003.300.88749.860.310
Flotta mix                    UK (North Sea)           0.84635.7040.0000004.400.90154.350.628
Foroozan (Fereidoon)          Iran                     0.86931.3020.0000015.300.92355.400.393
Forties                       UK (North Sea)           0.84236.6020.0000006.800.90655.030.396
Fosterton                     Canada                   0.90924.1038.0000030.000.94272.350.287
Fulmar                        UK (North Sea)           0.82839.3038.0000002.550.90238.190.260
Gach Saran                    Iran                     0.86931.4038.0000012.000.92949.880.351
Gakota mix                    Trinidad                 0.86132.8038.0000004.300.98158.180.136
Gamba                         Gabon                    0.86731.8038.0000036.700.88579.180.131
Gorm                          Denmark (North Sea)      0.85633.9038.0000005.400.91154.580.373
Gulf Alberta L & M            Alberta Canada           0.84935.1038.0000004.860.90652.550.364
Gulf of Suez blend            Egypt                    0.86831.5020.0000024.000.91164.310.352
Gulf of Suez mix              Egypt                    0.86631.9038.0000008.700.91558.910.572
Gulfaks                       Norway (North Sea)       0.88428.6038.0000010.001.00465.350.327
